010pixel_distance,parameters,get,lat1,,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,lat2,,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,long1,,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,long2,,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,unit,,http://schema.org/QuantitativeValue
010pixel_distance,parameters,get,long1,$.get.long1,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,unit,$.unit,http://schema.org/QuantitativeValue
010pixel_distance,parameters,get,long2,$.get.long2,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,unit,$.get.unit,http://schema.org/QuantitativeValue
010pixel_distance,parameters,get,value,$.value,http://schema.org/QuantitativeValue
010pixel_distance,parameters,get,lat2,$.get.lat2,http://schema.org/GeoCoordinates
010pixel_distance,parameters,get,lat1,$.get.lat1,http://schema.org/GeoCoordinates
8coupons_8coupons,get-realtime-local-deals,get,postDate,$.[*].postDate,http://schema.org/DateTime
8coupons_8coupons,get-realtime-local-deals,get,dealTitle,$.[*].dealTitle,http://schema.org/Offer
8coupons_8coupons,get-realtime-local-deals,get,city,$.[*].city,http://schema.org/City
8coupons_8coupons,get-realtime-local-deals,get,expirationDate,$.[*].expirationDate,http://schema.org/Date
8coupons_8coupons,get-realtime-local-deals,get,dealPrice,$.[*].dealPrice,http://schema.org/PriceSpecification
8coupons_8coupons,get-realtime-local-deals,get,storeID,$.[*].storeID,http://schema.org/Store
8coupons_8coupons,get-realtime-local-deals,get,address2,$.[*].address2,http://schema.org/PostalAddress
8coupons_8coupons,get-realtime-local-deals,get,homepage,$.[*].homepage,http://schema.org/WebPage
8coupons_8coupons,get-realtime-local-deals,get,ZIP,$.[*].ZIP,http://schema.org/PostalAddress
8coupons_8coupons,get-realtime-local-deals,get,address,$.[*].address,http://schema.org/PostalAddress
8coupons_8coupons,get-realtime-local-deals,get,dealOriginalPrice,$.[*].dealOriginalPrice,http://schema.org/PriceSpecification
8coupons_8coupons,get-realtime-local-deals,get,URL,$.[*].URL,http://schema.org/URL
8coupons_8coupons,get-realtime-local-deals,get,state,$.[*].state,http://schema.org/State
8coupons_8coupons,get-realtime-local-deals,get,dealinfo,$.[*].dealinfo,http://schema.org/Offer
8coupons_8coupons,get-realtime-local-deals,get,lon,$.[*].lon,http://schema.org/GeoCoordinates
8coupons_8coupons,get-realtime-local-deals,get,lat,$.[*].lat,http://schema.org/GeoCoordinates
8coupons_8coupons,get-realtime-local-deals,get,storeURL,$.[*].storeURL,http://schema.org/Store
8coupons_8coupons,get-realtime-local-deals,get,showImage,$.[*].showImage,http://schema.org/ImageObject
8coupons_8coupons,get-realtime-local-deals,get,userID,$.[*].userID,http://schema.org/LocalBusiness
8coupons_8coupons,get-realtime-local-deals,get,showLogo,$.[*].showLogo,http://schema.org/ImageObject
alfl_newdo,search,get,searchstring,,http://schema.org/SearchAction
alfl_newdo,search,get,listId,$.[*].listId,http://schema.org/ItemList
Ambiverse_natural-language-understanding,knowledgegraph-categories-_meta,get,collectionSize,$.collectionSize,http://schema.org/ItemList
Ambiverse_natural-language-understanding,knowledgegraph-categories-_meta,get,languages,$.languages.[*],http://schema.org/Language
apathetic_imdb,movie,post,searchTerm,,http://schema.org/SearchAction
apathetic_imdb,movie,post,given,$.result.metascore.given,http://schema.org/AggregateRating
apathetic_imdb,movie,post,year,$.result.year,http://schema.org/Movie
apathetic_imdb,movie,post,max,$.result.rating.max,http://schema.org/Rating
apathetic_imdb,movie,post,language,$.result.language,http://schema.org/Language
apathetic_imdb,movie,post,role,$.result.cast.[*].role,http://schema.org/PerformanceRole
apathetic_imdb,movie,post,writer,$.result.writer.[*],http://schema.org/Person
apathetic_imdb,movie,post,user,$.result.reviews.user,http://schema.org/AggregateRating
apathetic_imdb,movie,post,actor,$.result.cast.[*].actor,http://schema.org/Person
apathetic_imdb,movie,post,poster,$.result.poster,http://schema.org/ImageObject
apathetic_imdb,movie,post,max,$.result.metascore.max,http://schema.org/AggregateRating
apathetic_imdb,movie,post,given,$.result.rating.given,http://schema.org/Rating
apathetic_imdb,movie,post,director,$.result.director,http://schema.org/Person
apathetic_imdb,movie,post,critic,$.result.reviews.critic,http://schema.org/AggregateRating
bestApi_ted,talk-by-youtube-id,get,youtubeId,,http://schema.org/VideoObject
bestApi_ted,talk-by-youtube-id,get,youTubeTitle,$.[*].youTubeTitle,http://schema.org/VideoObject
bestApi_ted,talk-by-youtube-id,get,youTubeID,$.[*].youTubeID,http://schema.org/VideoObject
bestApi_ted,talk-by-youtube-id,get,name,$.[*].name,http://schema.org/Person
bestApi_ted,talk-by-youtube-id,get,youTubeUrl,$.[*].youTubeUrl,http://schema.org/VideoObject
bestApi_ted,talk-by-youtube-id,get,thumbnail_url,$.[*].thumbnail_url,http://schema.org/ImageObject
bestApi_ted,talk-by-youtube-id,get,speakerBio,$.[*].speakerBio,http://schema.org/Person
bestApi_ted,talk-by-youtube-id,get,speaker_url,$.[*].speaker_url,http://schema.org/Person
bestApi_ted,talk-by-youtube-id,get,youTubeDesc,$.[*].youTubeDesc,http://schema.org/VideoObject
bestApi_ted,talk-by-youtube-id,get,embeddedLink,$.[*].embeddedLink,http://schema.org/URL
bestApi_ted,talk-by-youtube-id,get,speakersDesc,$.[*].speakersDesc,http://schema.org/Person
bestApi_ted,talk-by-youtube-id,get,speaker,$.[*].speaker,http://schema.org/Person
billiving_billiving,clone-invoice,post,id,,http://schema.org/Invoice
